Year (Latin),Year (English),Event (Latin),Event (English)
754,1,Iesus Christus in Bethlehem in Iudaeā natus esse dicitur.,Jesus Christ is said to have been born in Bethlehem in Judea.
755,2,Augustus Tiberium ad Romam revocat.,Augustus recalls Tiberius to Rome.
755,2,Ars Amatoria ab Ovidiō scripta est.,Ovid writes the Ars Amatoria.
757,4,"Nepos Augusti et heres adoptatus, Gaius Caesar, subito morbo mortuus est.",Augustus's grandson and adopted heir Gaius Caesar dies suddenly of illness.
759,6,Rex Herod ā Augusto victus est.,King Herod is defeated by Augustus.
761,8,Carmen nomine Metamorphoses ab Ovidiō editus est.,Ovid publishes his poem Metamorphoses.
762,9,Varus legātus legionesque a Germanibus in proeliō Teutoburgiense saltūs destructi sunt,Varus and his legions are destroyed by the Germans in the battle of the Teutoburg forest.
763,10,Provincia Illyricum in Pannoniam et Dalmatiam divisum est,The province of Illyricum is divided into Pannonia and Dalmatia
766,13,Tiberius princeps cum Augustō appellatus est et omnēs suās potestātēs eī dantur.,"Tiberius is named ""princeps"" along with Augustus and given all his same powers."
767,14,Augustus mortuus est.,Augustus dies.
767,14,Tiberius imperator fit.,Tiberius becomes emperor.
770,17,Cappadocia Syriaque a Roma provinciae factae sunt,Cappadocia and Syria join the Empire
770,17,"Ovidius Naso poeta, qui Metamorphoses scripserat, mortuus est","The poet Ovid, who wrote Metamorphoses, died"
771,18,Imperator imperium ad Germanicum Iulius Caesarem dedit,Germanicus Iulius Caesar is given imperium by the Emperor
776,23,"Sucessor Imperatori, nomine Drusus Iulius Caesar, mortuus est","Drusus Iulius Caesar, the Emperor's successor, dies"
779,26,"Tiberius ad Caprem venivit, et imperium Seiano dedit","Tiberius retired to Capri, allowing Sejanus to rule in his place"
782,29,"Livia, mater Tiberii, mortuus est","Livia, the mother of Tiberius died"
784,31,Tiberius iussit Sejanum interficeretur,Tiberius commands Sejanus to be killed
784,31,Tiberius Caligulam ad Caprem invitavit,Tiberius invited Caligula to Capri
790,37,"Tiberius mortuus est, et Imperium Romanum ad Caligula et Tiberio Gemello dedit","Tiberius dies, and gives the Empire to Caligula and Tiberius Gemellus"
791,38,Caligula iussit Tiberium Gemellum occideretur,Caligula orchestrated the murder of Tiberius Gemellus
793,40,Caligula iussit Regem Mauretaniam occideretur,Caligula orders the King of Mauretania to be killed
794,41,Caligula a Cohortibus praetoriae interfectus est,Caligula is assassinated by the Praetorian Guard
794,41,Filius Nero Claudius Drusus Imperator fuit,The son of Nero Claudius Drusus becomes emperor
796,43,Legiones Romae in Brittaniam transiverunt ut regionem capere incipet,Roman Legions arrive in Britain to begin conquering it
799,46,Thracia a Roma provincia facta est,Thracia is made a Roman province
802,49,"Uxor Imperatori, nomina Messalina, quae nepos Augusti erat, propter coniurationem, occisa est","Messalina, wife to the emperor and grand-niece of Augustus, is executed for conspiracy"
803,50,"Imperator, qui antehac Agrippinam in matrimonio duxerat, filium Neronem suum in familiam Imperatori adoptavit","The emperor, who had earlier married Agrippina, adopted her son Nero into the Imperial family"
807,54,Nero imperator fuit,Nero becomes emperor
812,59,"Agrippina, mater Imperatori, a filio suo interfecta est","Agrippina, mother to the Emperor, is killed by her son"
813,60,"Boudicca, regina Iceni, gens in Britanniam, hostes contra Romam duxit","Boudicca, queen of the Iceni, a tribe in Britain, leads a rebellion against Rome"
814,61,circa octaginta milia personas rebelliones in Brittaniam a militibus Romanibus cecidunt,"Around 80,000 rebelling people in Britain are killed by Roman soldiers"
817,64,"sexies diebus incendium Urbem Romam ardivit. Tres inter quattuordecim regiones in quo Roma divisa est deleta sunt, et septem altera regiones incendio afflicti sunt","For six days, a fire burned in Rome, which destroyed 3 of the 14 regions of the city, and damaged another 7"
817,64,"Sanctus Petrus, primus episcopus Romanus a Imperatore cruciatus est","Saint Peter, the first bishop of Rome, is crucified by the emperor"
817,64,Domus Aurea a Imperatore aedificare inceptus est,The Golden House begins being built by the Emperor
818,65,"Coniuratio Pisone contra Neronem fortmata est, noniam Nero ",The Pisonian Conspiracy against Nero is formed
818,65,Nerva coniurationem contra imperatorem exponere adiuvit,Nerva helps expose a conspiracy against the emperor
818,65,"Imperator iussit Seneca, qui in coniuratio dictus est, se necet","The Emperor orders Seneca, who he claimed to be part of a conspiracy, to kill himself"
819,66,"Gens Iudeae, qui in Hierosolyma vixit, Primum Bellum Iudaicum inceptus est","The People of Judea, who inhabited Jerusalem, began the Great Jewish Revolt"
821,68,Nero iussit servum suum se occidet,Nero commands his slave to kill him
821,68,"Galba, rector provinciae Hispaniae Tarraconense, Imperator a Senatu clamatus est","Galba, governor of Hispania Terraconensis, is declared Emperor by the Senate"
822,69,Annus quattuor imperatorum,The Year of the Four Emperors
822,69,Cohortes praetoriae Imperatorem necaverunt ut Othonem imperatorem sit,The Praetorian Guard assasinates the Emperor so that Otho could take the throne
822,69,"Post Prater Imperatorem vicit, Vitellius se Imperator dixit","After defeating the previous emperor, Vitellius announces his claim to the throne"
822,69,Vespasianus a Senatu Imperator decretus est,Vespasian is declared emperor by the Senate
822,69,"Milites qui ad Vespasianum fidelem erat, Vitellem necaverunt",Troops loyal to Vespasian killed Vitellius
823,70,"Murus ruens Hierosolymae a legionibus Romanis transitus est, et Secundum Templum Hierosolymum destructum est","The Walls of Jerusalem fall to Rome's legions, and the Second Temple is destroyed"
